bankName,country,totalAssets,date
Industrial & Commercial Bank of China,China,3615.17,2017-03-31
China Construction Bank Corp,China,3149.25,2017-03-31
Agricultural Bank of China,China,2950.21,2017-03-31
Bank of China,China,2746.05,2017-03-31
Mitsubishi UFJ Financial Group,Japan,2713.44,2017-03-31
JPMorgan Chase & Co,USA,2546.29,2017-03-31
HSBC Holdings,UK,2416.47,2017-03-31
BNP Paribas,France,2348.65,2017-03-31
Bank of America,USA,2247.7,2017-03-31
Wells Fargo,USA,1951.56,2017-03-31
Japan Post Bank,Japan,1874.9,2017-03-31
Credit Agricole Group,France,1869.92,2017-03-31
China Development Bank,China,1831.86,2017-03-31
Citigroup Inc,USA,1821.64,2017-03-31
Mizuho Financial Group,Japan,1793.84,2017-03-31
Sumitomo Mitsui Financial Group,Japan,1769.54,2017-03-31
Deutsche Bank,Germany,1672.27,2017-03-31
Barclays PLC,UK,1502.15,2017-03-31
Societe Generale,France,1497.47,2017-03-31
Banco Santander,Spain,1444.85,2017-03-31
Groupe BPCE,France,1323.76,2017-03-31
Bank of Communications,China,1267.78,2017-03-31
Postal Savings Bank of China,China,1231.95,2017-03-31
Lloyds Banking Group,UK,1020.01,2017-03-31
Royal Bank of Scotland Group,UK,977.408,2017-03-31
Norinchukin Bank,Japan,957.372,2017-03-31
ING Groep NV,Netherlands,945.608,2017-03-31
UniCredit S.p.A.,Italy,941.622,2017-03-31
Toronto-Dominion Bank,Canada,941.293,2017-03-31
UBS Group AG,Switzerland,909.208,2017-03-31
Royal Bank of Canada,Canada,904.45,2017-03-31
Industrial Bank Co. Ltd,China,904.22,2017-03-31
Goldman Sachs Group,USA,894.069,2017-03-31
China Merchants Bank,China,871.052,2017-03-31
China Minsheng Banking Corp,China,864.655,2017-03-31
Shanghai Pudong Development Bank,China,854.937,2017-03-31
China CITIC Bank Corp,China,834.934,2017-03-31
Morgan Stanley,USA,832.391,2017-03-31
Credit Suisse Group,Switzerland,811.622,2017-03-31
Intesa Sanpaolo,Italy,790.271,2017-03-31
Credit Mutuel,France,782.37,2017-03-31
BBVA,Spain,768.607,2017-03-31
Commonwealth Bank of Australia,Australia,743.871,2017-03-31
Rabobank Group,Netherlands,707.842,2017-03-31
Nordea,Sweden,694.95,2017-03-31
Australia & New Zealand Banking Group,Australia,686.298,2017-03-31
Bank of Nova Scotia,Canada,665.286,2017-03-31
Standard Chartered Plc,UK,646.692,2017-03-31
Westpac Banking Corp,Australia,643.032,2017-03-31
European Investment Bank,Luxembourg,612.616,2017-03-31
National Australia Bank,Australia,604.935,2017-03-31
